Company,Title,Category,Location,Season,Posted,URL
GE Healthcare,Client Service Technician Apprentice,Other,Remote,Summer 2027,Posted Yes,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Client-Service-Technician-Apprentice_R4043115-1
Intel,AI Software Engineer Graduate Intern,Data & ML/AI,Virtual US,Summer 2027,Posted Tod,https://intel.wd1.myworkdayjobs.com/en-US/external/job/Virtual-US/AI-Software-Engineer-Graduate-Intern_JR0285989
Citi,Young Apprentice - C00 - GURUGRAM,Other,Gurugram Haryana India,Summer 2027,Posted Tod,https://citi.wd5.myworkdayjobs.com/en-US/2/job/Gurugram-Haryana-India/Young-Apprentice---C00---GURUGRAM_26974533
GE Healthcare,Field Engineer Apprentice,Software,Remote,Summer 2027,Posted 6 D,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Field-Engineer-Apprentice_R4043497-1
GE Healthcare,Surgery Field Engineer Apprentice - Northern California,Software,Remote,Summer 2027,Posted 5 D,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Surgery-Field-Engineer-Apprentice---Northern-California_R4035260
Valeo,Intern - AI,Data & ML/AI,Chennai,Summer 2027,Posted 30+,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs/job/Chennai/Intern---AI_REQ2025061319
Target,Apprentice - Retail Ops,Other,"Bangalore,India",Summer 2027,Posted 30 ,https://target.wd5.myworkdayjobs.com/en-US/targetcareers/job/BangaloreIndia/Apprentice---Retail-Ops_R0000348370
Target,Apprentice - Technology,Other,"Bangalore,India",Summer 2027,Posted 30 ,https://target.wd5.myworkdayjobs.com/en-US/targetcareers/job/BangaloreIndia/Apprentice---Technology_R0000348368
GE Healthcare,Surgery Field Engineer Apprentice (Lower CT: Stamford/Fairfield area),Software,Remote,Summer 2027,Posted 2 D,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Surgery-Field-Engineer-Apprentice--Lower-CT--Stamford-Fairfield-area-_R4039861-1
Medtronic,Co-op/Apprentice (Non-Tech),Other,"Chandigarh, Chandigarh, India",Summer 2027,Posted 17 ,https://medtronic.wd1.myworkdayjobs.com/en-US/redeploymentmedtroniccareers/job/Chandigarh-Chandigarh-India/Co-op-Apprentice--Non-Tech-_R66771
GE Healthcare,Biomedical Technician Apprentice,Other,Remote,Summer 2027,Posted 15 ,https://gehc.wd5.myworkdayjobs.com/en-US/GEHC_ExternalSite/job/Remote/Biomedical-Technician-Apprentice_R4043495-1
Medtronic,Co-op/Apprentice (Tech),Other,"Bangalore , Karnataka, India",Summer 2027,Posted 15 ,https://medtronic.wd1.myworkdayjobs.com/en-US/redeploymentmedtroniccareers/job/Bangalore--Karnataka-India/Co-op-Apprentice--Tech-_R66680
Scopely,Intern - Gen. AI Art,Data & ML/AI,"IN - Bangalore, India",Summer 2027,2026-07-14,https://job-boards.greenhouse.io/scopely/jobs/5341537008?gh_jid=5341537008
Stripe,"Software Engineer, Intern",Software,Bengaluru,Summer 2027,2026-07-10,https://stripe.com/jobs/search?gh_jid=8031833
Epifi,Ai Engg Intern,Data & ML/AI,Bangalore,Summer 2027,2026-07-03,https://jobs.lever.co/epifi/08c743e8-2b29-4f78-827e-5bd90476ed86
Epifi,DS/ML Intern,Data & ML/AI,Bangalore,Summer 2027,2026-07-02,https://jobs.lever.co/epifi/08fc1577-4593-4b94-b66b-08e638d29f37
